Fecha_Ocurrencia,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,Día,Mes,Año,Mortalidad,Mortalidad_label
2024-09-15,CARRERA 23 N 25-39  -  VILLA MAGALY,VILLA MAGALY,2,2,HERIDOS,0,CHOQUE,15,9,2024,False,Sin mortalidad
2024-09-15,CARRERA 47 CALLE 18 -  SIN INFORMACIÃN DEL BARRIO SANTA ROSA,No registra,2,2,HERIDOS,0,CHOQUE,15,9,2024,False,Sin mortalidad
2024-09-22,KILOMETRO 8+200 MTS VIA ESMERALDA -CHICHIMENE  -,No registra,2,1,HERIDOS,0,CHOQUE,22,9,2024,False,Sin mortalidad
2024-09-25,DIAGONAL 15 CARRERA 21 -  COOPERATIVO,COOPERATIVO,2,1,HERIDOS,0,CHOQUE,25,9,2024,False,Sin mortalidad
2024-09-26,CALLE 14 N 30 - 10  -  BACHUE,BACHUE,2,2,HERIDOS,0,CHOQUE,26,9,2024,False,Sin mortalidad
2024-09-30,KILOMETRO 53+850 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,2,HERIDOS,0,CHOQUE,30,9,2024,False,Sin mortalidad
2024-10-06,CARRERA 23 N.14-89  -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,CHOQUE,6,10,2024,False,Sin mortalidad
2024-10-09,CALLE 17 CARRERA 19 -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,9,10,2024,False,Sin mortalidad
2024-10-13,CALLE 19 N.20 -36  -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,13,10,2024,False,Sin mortalidad
2024-10-14,KILOMETRO 1+900 MTS   - VIA,No registra,3,4,HERIDOS,0,CHOQUE,14,10,2024,False,Sin mortalidad
2024-10-13,CALLE 14 CARRERA 29 - BANCARIOS,No registra,2,2,HERIDOS,0,CHOQUE,13,10,2024,False,Sin mortalidad
2024-10-11,KILOMETRO 44+700 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,3,1,HERIDOS,0,CHOQUE,11,10,2024,False,Sin mortalidad
2024-10-16,CALLE 16 CRA 42 -  SIN INFORMACIÃN DEL BARRIO ESMERALDA,No registra,2,2,HERIDOS,0,CHOQUE,16,10,2024,False,Sin mortalidad
2024-10-16,AVENIDA 23 N.29A-37  -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,16,10,2024,False,Sin mortalidad
2024-10-17,CALLE 18 CARRERA 14 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,2,HERIDOS,0,CHOQUE,17,10,2024,False,Sin mortalidad
2024-10-19,KILOMETRO 44+500 MTS   -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,2,1,MUERTOS,1,CHOQUE,19,10,2024,True,Con mortalidad
2024-10-18,CARRERA 31 N. 14-10       -  BACHUE,BACHUE,2,1,HERIDOS,0,CHOQUE,18,10,2024,False,Sin mortalidad
2024-10-22,KILOMETRO 46+630 MTS   -,No registra,2,1,HERIDOS,0,CHOQUE,22,10,2024,False,Sin mortalidad
2024-10-25,CALLE 10 N. 23-24  -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,25,10,2024,False,Sin mortalidad
